hotelIndex,userIndex,rating,newID,Reviewer Name,Nationality,Group Name,Hotel ID
396,305,16.486221,Chi_Việt Nam_Gia đình có em bé,Chi,Việt Nam,Gia đình có em bé,9_17
436,305,16.09667,Chi_Việt Nam_Gia đình có em bé,Chi,Việt Nam,Gia đình có em bé,26_4
434,305,16.09667,Chi_Việt Nam_Gia đình có em bé,Chi,Việt Nam,Gia đình có em bé,25_26
388,305,13.857362,Chi_Việt Nam_Gia đình có em bé,Chi,Việt Nam,Gia đình có em bé,41_30
390,305,13.664619,Chi_Việt Nam_Gia đình có em bé,Chi,Việt Nam,Gia đình có em bé,43_2
396,496,16.404226,Vuong_Việt Nam_Cặp đôi,Vuong,Việt Nam,Cặp đôi,9_17
436,496,15.277989,Vuong_Việt Nam_Cặp đôi,Vuong,Việt Nam,Cặp đôi,26_4
434,496,15.277989,Vuong_Việt Nam_Cặp đôi,Vuong,Việt Nam,Cặp đôi,25_26
438,496,14.427111,Vuong_Việt Nam_Cặp đôi,Vuong,Việt Nam,Cặp đôi,28_27
382,496,14.427111,Vuong_Việt Nam_Cặp đôi,Vuong,Việt Nam,Cặp đôi,26_22
436,596,15.78563,Thao_Việt Nam_Gia đình có trẻ em,Thao,Việt Nam,Gia đình có trẻ em,26_4
434,596,15.78563,Thao_Việt Nam_Gia đình có trẻ em,Thao,Việt Nam,Gia đình có trẻ em,25_26
396,596,15.492221,Thao_Việt Nam_Gia đình có trẻ em,Thao,Việt Nam,Gia đình có trẻ em,9_17
438,596,14.757528,Thao_Việt Nam_Gia đình có trẻ em,Thao,Việt Nam,Gia đình có trẻ em,28_27
382,596,14.757528,Thao_Việt Nam_Gia đình có trẻ em,Thao,Việt Nam,Gia đình có trẻ em,26_22
436,1051,15.388949,võ_Việt Nam_Cặp đôi,võ,Việt Nam,Cặp đôi,26_4
434,1051,15.388949,võ_Việt Nam_Cặp đôi,võ,Việt Nam,Cặp đôi,25_26
396,1051,13.444771,võ_Việt Nam_Cặp đôi,võ,Việt Nam,Cặp đôi,9_17
335,1051,11.919661,võ_Việt Nam_Cặp đôi,võ,Việt Nam,Cặp đôi,7_9
323,1051,11.919661,võ_Việt Nam_Cặp đôi,võ,Việt Nam,Cặp đôi,12_13
396,6067,12.796904,Soobin_Hàn Quốc_Nhóm,Soobin,Hàn Quốc,Nhóm,9_17
415,6067,12.726199,Soobin_Hàn Quốc_Nhóm,Soobin,Hàn Quốc,Nhóm,16_14
248,6067,12.644019,Soobin_Hàn Quốc_Nhóm,Soobin,Hàn Quốc,Nhóm,16_15
436,6067,12.286666,Soobin_Hàn Quốc_Nhóm,Soobin,Hàn Quốc,Nhóm,26_4
434,6067,12.286666,Soobin_Hàn Quốc_Nhóm,Soobin,Hàn Quốc,Nhóm,25_26
436,7171,12.817718,Duy_Hoa Kỳ_Cặp đôi,Duy,Hoa Kỳ,Cặp đôi,26_4
434,7171,12.817718,Duy_Hoa Kỳ_Cặp đôi,Duy,Hoa Kỳ,Cặp đôi,25_26
431,7171,11.92096,Duy_Hoa Kỳ_Cặp đôi,Duy,Hoa Kỳ,Cặp đôi,20_21
430,7171,11.92096,Duy_Hoa Kỳ_Cặp đôi,Duy,Hoa Kỳ,Cặp đôi,19_23
403,7171,11.92096,Duy_Hoa Kỳ_Cặp đôi,Duy,Hoa Kỳ,Cặp đôi,11_6
436,7554,14.7844095,Joongha_Hàn Quốc_Cặp đôi,Joongha,Hàn Quốc,Cặp đôi,26_4
434,7554,14.7844095,Joongha_Hàn Quốc_Cặp đôi,Joongha,Hàn Quốc,Cặp đôi,25_26
396,7554,14.624178,Joongha_Hàn Quốc_Cặp đôi,Joongha,Hàn Quốc,Cặp đôi,9_17
335,7554,13.288824,Joongha_Hàn Quốc_Cặp đôi,Joongha,Hàn Quốc,Cặp đôi,7_9
323,7554,13.288824,Joongha_Hàn Quốc_Cặp đôi,Joongha,Hàn Quốc,Cặp đôi,12_13
335,8779,10.81248,allan_Úc_Cặp đôi,allan,Úc,Cặp đôi,7_9
323,8779,10.81248,allan_Úc_Cặp đôi,allan,Úc,Cặp đôi,12_13
460,8779,9.5927105,allan_Úc_Cặp đôi,allan,Úc,Cặp đôi,40_15
346,8779,9.5832615,allan_Úc_Cặp đôi,allan,Úc,Cặp đôi,12_3
288,8779,9.568321,allan_Úc_Cặp đôi,allan,Úc,Cặp đôi,15_18
436,11757,11.430356,RYU_Hàn Quốc_Gia đình có em bé,RYU,Hàn Quốc,Gia đình có em bé,26_4
434,11757,11.430356,RYU_Hàn Quốc_Gia đình có em bé,RYU,Hàn Quốc,Gia đình có em bé,25_26
396,11757,10.166868,RYU_Hàn Quốc_Gia đình có em bé,RYU,Hàn Quốc,Gia đình có em bé,9_17
415,11757,9.858191,RYU_Hàn Quốc_Gia đình có em bé,RYU,Hàn Quốc,Gia đình có em bé,16_14
248,11757,9.788203,RYU_Hàn Quốc_Gia đình có em bé,RYU,Hàn Quốc,Gia đình có em bé,16_15
435,11766,11.327635,Ralf_Đan Mạch_Cặp đôi,Ralf,Đan Mạch,Cặp đôi,26_11
433,11766,11.327635,Ralf_Đan Mạch_Cặp đôi,Ralf,Đan Mạch,Cặp đôi,25_16
399,11766,11.327635,Ralf_Đan Mạch_Cặp đôi,Ralf,Đan Mạch,Cặp đôi,10_20
413,11766,10.187404,Ralf_Đan Mạch_Cặp đôi,Ralf,Đan Mạch,Cặp đôi,15_2
411,11766,10.187404,Ralf_Đan Mạch_Cặp đôi,Ralf,Đan Mạch,Cặp đôi,14_6
362,12467,10.390678,VŨ_Việt Nam_Du lịch một mình,VŨ,Việt Nam,Du lịch một mình,7_29
361,12467,10.390678,VŨ_Việt Nam_Du lịch một mình,VŨ,Việt Nam,Du lịch một mình,7_22
353,12467,10.390678,VŨ_Việt Nam_Du lịch một mình,VŨ,Việt Nam,Du lịch một mình,23_7
352,12467,10.390678,VŨ_Việt Nam_Du lịch một mình,VŨ,Việt Nam,Du lịch một mình,22_9
351,12467,10.390678,VŨ_Việt Nam_Du lịch một mình,VŨ,Việt Nam,Du lịch một mình,21_23
396,12671,14.1996355,Yogesh_Ấn Độ_Du lịch một mình,Yogesh,Ấn Độ,Du lịch một mình,9_17
408,12671,13.183619,Yogesh_Ấn Độ_Du lịch một mình,Yogesh,Ấn Độ,Du lịch một mình,13_23
436,12671,12.683181,Yogesh_Ấn Độ_Du lịch một mình,Yogesh,Ấn Độ,Du lịch một mình,26_4
434,12671,12.683181,Yogesh_Ấn Độ_Du lịch một mình,Yogesh,Ấn Độ,Du lịch một mình,25_26
415,12671,12.487773,Yogesh_Ấn Độ_Du lịch một mình,Yogesh,Ấn Độ,Du lịch một mình,16_14
396,13533,15.182743,yunjung_Hàn Quốc_Nhóm,yunjung,Hàn Quốc,Nhóm,9_17
409,13533,14.39968,yunjung_Hàn Quốc_Nhóm,yunjung,Hàn Quốc,Nhóm,13_24
438,13533,14.206076,yunjung_Hàn Quốc_Nhóm,yunjung,Hàn Quốc,Nhóm,28_27
382,13533,14.206076,yunjung_Hàn Quốc_Nhóm,yunjung,Hàn Quốc,Nhóm,26_22
365,13533,14.206076,yunjung_Hàn Quốc_Nhóm,yunjung,Hàn Quốc,Nhóm,10_30
396,3029,16.473953,Otto_Hồng Kông_Gia đình có trẻ em,Otto,Hồng Kông,Gia đình có trẻ em,9_17
438,3029,14.628614,Otto_Hồng Kông_Gia đình có trẻ em,Otto,Hồng Kông,Gia đình có trẻ em,28_27
382,3029,14.628614,Otto_Hồng Kông_Gia đình có trẻ em,Otto,Hồng Kông,Gia đình có trẻ em,26_22
365,3029,14.628614,Otto_Hồng Kông_Gia đình có trẻ em,Otto,Hồng Kông,Gia đình có trẻ em,10_30
465,3029,14.334335,Otto_Hồng Kông_Gia đình có trẻ em,Otto,Hồng Kông,Gia đình có trẻ em,5_21
396,3826,15.902236,Chi_Việt Nam_Du lịch một mình,Chi,Việt Nam,Du lịch một mình,9_17
436,3826,15.651742,Chi_Việt Nam_Du lịch một mình,Chi,Việt Nam,Du lịch một mình,26_4
434,3826,15.651742,Chi_Việt Nam_Du lịch một mình,Chi,Việt Nam,Du lịch một mình,25_26
375,3826,15.113976,Chi_Việt Nam_Du lịch một mình,Chi,Việt Nam,Du lịch một mình,16_1
424,3826,14.482709,Chi_Việt Nam_Du lịch một mình,Chi,Việt Nam,Du lịch một mình,18_22
425,5642,11.554402,LINH_Việt Nam_Đi công tác,LINH,Việt Nam,Đi công tác,18_26
388,5642,10.839617,LINH_Việt Nam_Đi công tác,LINH,Việt Nam,Đi công tác,41_30
287,5642,10.820445,LINH_Việt Nam_Đi công tác,LINH,Việt Nam,Đi công tác,6_6
463,5642,10.729785,LINH_Việt Nam_Đi công tác,LINH,Việt Nam,Đi công tác,41_20
462,5642,10.729785,LINH_Việt Nam_Đi công tác,LINH,Việt Nam,Đi công tác,40_30
396,6572,15.431632,severine_Pháp_Cặp đôi,severine,Pháp,Cặp đôi,9_17
436,6572,15.025968,severine_Pháp_Cặp đôi,severine,Pháp,Cặp đôi,26_4
434,6572,15.025968,severine_Pháp_Cặp đôi,severine,Pháp,Cặp đôi,25_26
415,6572,12.320968,severine_Pháp_Cặp đôi,severine,Pháp,Cặp đôi,16_14
248,6572,12.26057,severine_Pháp_Cặp đôi,severine,Pháp,Cặp đôi,16_15
436,9723,13.553199,Chanyoung_Hàn Quốc_Cặp đôi,Chanyoung,Hàn Quốc,Cặp đôi,26_4
434,9723,13.553199,Chanyoung_Hàn Quốc_Cặp đôi,Chanyoung,Hàn Quốc,Cặp đôi,25_26
376,9723,11.140545,Chanyoung_Hàn Quốc_Cặp đôi,Chanyoung,Hàn Quốc,Cặp đôi,16_13
335,9723,11.043941,Chanyoung_Hàn Quốc_Cặp đôi,Chanyoung,Hàn Quốc,Cặp đôi,7_9
323,9723,11.043941,Chanyoung_Hàn Quốc_Cặp đôi,Chanyoung,Hàn Quốc,Cặp đôi,12_13
362,10345,11.6671505,Hiyo_Việt Nam_Cặp đôi,Hiyo,Việt Nam,Cặp đôi,7_29
361,10345,11.6671505,Hiyo_Việt Nam_Cặp đôi,Hiyo,Việt Nam,Cặp đôi,7_22
353,10345,11.6671505,Hiyo_Việt Nam_Cặp đôi,Hiyo,Việt Nam,Cặp đôi,23_7
352,10345,11.6671505,Hiyo_Việt Nam_Cặp đôi,Hiyo,Việt Nam,Cặp đôi,22_9
351,10345,11.6671505,Hiyo_Việt Nam_Cặp đôi,Hiyo,Việt Nam,Cặp đôi,21_23
415,1777,15.653181,Hiệp_Việt Nam_Nhóm,Hiệp,Việt Nam,Nhóm,16_14
248,1777,15.548201,Hiệp_Việt Nam_Nhóm,Hiệp,Việt Nam,Nhóm,16_15
396,1777,15.492549,Hiệp_Việt Nam_Nhóm,Hiệp,Việt Nam,Nhóm,9_17
436,1777,14.937823,Hiệp_Việt Nam_Nhóm,Hiệp,Việt Nam,Nhóm,26_4
434,1777,14.937823,Hiệp_Việt Nam_Nhóm,Hiệp,Việt Nam,Nhóm,25_26
396,2638,16.12327,Hweekyung_Hàn Quốc_Cặp đôi,Hweekyung,Hàn Quốc,Cặp đôi,9_17
436,2638,13.230887,Hweekyung_Hàn Quốc_Cặp đôi,Hweekyung,Hàn Quốc,Cặp đôi,26_4
434,2638,13.230887,Hweekyung_Hàn Quốc_Cặp đôi,Hweekyung,Hàn Quốc,Cặp đôi,25_26
438,2638,13.038023,Hweekyung_Hàn Quốc_Cặp đôi,Hweekyung,Hàn Quốc,Cặp đôi,28_27
382,2638,13.038023,Hweekyung_Hàn Quốc_Cặp đôi,Hweekyung,Hàn Quốc,Cặp đôi,26_22
436,3108,14.559242,Reinhold_Đức_Du lịch một mình,Reinhold,Đức,Du lịch một mình,26_4
434,3108,14.559242,Reinhold_Đức_Du lịch một mình,Reinhold,Đức,Du lịch một mình,25_26
396,3108,12.105846,Reinhold_Đức_Du lịch một mình,Reinhold,Đức,Du lịch một mình,9_17
335,3108,11.883923,Reinhold_Đức_Du lịch một mình,Reinhold,Đức,Du lịch một mình,7_9
323,3108,11.883923,Reinhold_Đức_Du lịch một mình,Reinhold,Đức,Du lịch một mình,12_13
396,3861,15.01551,Eunji_Hàn Quốc_Nhóm,Eunji,Hàn Quốc,Nhóm,9_17
435,3861,14.354246,Eunji_Hàn Quốc_Nhóm,Eunji,Hàn Quốc,Nhóm,26_11
433,3861,14.354246,Eunji_Hàn Quốc_Nhóm,Eunji,Hàn Quốc,Nhóm,25_16
399,3861,14.354246,Eunji_Hàn Quốc_Nhóm,Eunji,Hàn Quốc,Nhóm,10_20
254,3861,14.138951,Eunji_Hàn Quốc_Nhóm,Eunji,Hàn Quốc,Nhóm,12_24
436,4899,14.879216,nhi_Việt Nam_Nhóm,nhi,Việt Nam,Nhóm,26_4
434,4899,14.879216,nhi_Việt Nam_Nhóm,nhi,Việt Nam,Nhóm,25_26
396,4899,14.485548,nhi_Việt Nam_Nhóm,nhi,Việt Nam,Nhóm,9_17
408,4899,13.65166,nhi_Việt Nam_Nhóm,nhi,Việt Nam,Nhóm,13_23
376,4899,13.394409,nhi_Việt Nam_Nhóm,nhi,Việt Nam,Nhóm,16_13
424,5761,14.047862,Mirit_Tây Ban Nha_Cặp đôi,Mirit,Tây Ban Nha,Cặp đôi,18_22
427,5761,13.605737,Mirit_Tây Ban Nha_Cặp đôi,Mirit,Tây Ban Nha,Cặp đôi,18_30
396,5761,13.521766,Mirit_Tây Ban Nha_Cặp đôi,Mirit,Tây Ban Nha,Cặp đôi,9_17
278,5761,13.169072,Mirit_Tây Ban Nha_Cặp đôi,Mirit,Tây Ban Nha,Cặp đôi,13_26
386,5761,12.685781,Mirit_Tây Ban Nha_Cặp đôi,Mirit,Tây Ban Nha,Cặp đôi,34_29
424,5920,14.7734165,QUỐC_Việt Nam_Gia đình có trẻ em,QUỐC,Việt Nam,Gia đình có trẻ em,18_22
